x_m,g1,g1_fit,residual
0.0000000000000000e+00,9.5457075619631648e-01,9.4818213309509503e-01,6.3886231012214578e-03
1.6736401673640165e-08,9.2886055125585409e-01,9.4278213041534531e-01,-1.3921579159491215e-02
3.3472803347280330e-08,9.4937298065189168e-01,9.3658091500805518e-01,1.2792065643836503e-02
5.0209205020920495e-08,9.4509202412083426e-01,9.2959389125889025e-01,1.5498132861944014e-02
6.6945606694560660e-08,8.9381382964597567e-01,9.2183762825332638e-01,-2.8023798607350714e-02
8.3682008368200825e-08,8.9488908118014654e-01,9.1332981836256033e-01,-1.8440737182413791e-02
1.0041841004184099e-07,9.0694763866662909e-01,9.0408923400734353e-01,2.8584046592855517e-03
1.1715481171548116e-07,8.9018076070808072e-01,8.9413568270710431e-01,-3.9549219990235862e-03
1.3389121338912132e-07,8.8387411037778618e-01,8.8348996052435036e-01,3.8414985343582231e-04
1.5062761506276149e-07,8.5986174926964432e-01,8.7217380401670563e-01,-1.2312054747061318e-02
1.6736401673640165e-07,8.7373228905942457e-01,8.6020984081101615e-01,1.3522448248408425e-02
1.8410041841004182e-07,8.5946865450300791e-01,8.4762153891578340e-01,1.1847115587224510e-02
2.0083682008368198e-07,8.3545393312795357e-01,8.3443315488970859e-01,1.0207782382449793e-03
2.1757322175732215e-07,8.3746045385245960e-01,8.2066968098540771e-01,1.6790772867051884e-02
2.3430962343096231e-07,8.1310560302440127e-01,8.0635679138832761e-01,6.7488116360736594e-03
2.5104602510460248e-07,7.7822418308543084e-01,7.9152078767161649e-01,-1.3296604586185645e-02
2.6778242677824264e-07,7.8117219633300472e-01,7.7618854358813283e-01,4.9836527448718915e-03
2.8451882845188281e-07,7.4531959959622551e-01,7.6038744932093760e-01,-1.5067849724712090e-02
3.0125523012552297e-07,7.5650426625549549e-01,7.4414535531351522e-01,1.2358910941980272e-02
3.1799163179916314e-07,7.2579468496783694e-01,7.2749051580059154e-01,-1.6958308327545968e-03
3.3472803347280330e-07,7.0660704105120953e-01,7.1045153215977741e-01,-3.8444911085678823e-03
3.5146443514644347e-07,6.8165200435068618e-01,6.9305729620338208e-01,-1.1405291852695898e-02
3.6820083682008363e-07,6.9236905141949456e-01,6.7533693352857727e-01,1.7032117890917298e-02
