knot,base,a32,a48,a64,delta_64_48,VolH,GeomType,VAM6
1_1,1_1,-0.5,-0.5,-0.5,0.0,0.0,torus/Seifert (not hyperbolic),
3_1,3_1,-0.50076974,-0.49717435,-0.49776744,-0.0005930900000000183,0.0,torus/Seifert (not hyperbolic),"D4,D6; reversible; periods 2,3; FSG Z2"
3_1p,3_1,-0.46398934,-0.45112745,-0.48337302,-0.03224557,0.0,torus/Seifert (not hyperbolic),"D4,D6; reversible; periods 2,3; FSG Z2"
3_1u,3_1,-0.49000954,-0.49752912,-0.49820744,-0.00067832000000001,0.0,torus/Seifert (not hyperbolic),"D4,D6; reversible; periods 2,3; FSG Z2"
4_1,4_1,-0.49444096,-0.49595249,-0.49624456,-0.0002920699999999776,2.029883212819307,hyperbolic,D4; Z4; I8; reversible; amphichiral; periods 2; FSG D8
4_1d,4_1,-0.51605576,-0.51273502,-0.50048223,0.012252790000000013,2.029883212819307,hyperbolic,D4; Z4; I8; reversible; amphichiral; periods 2; FSG D8
4_1p,4_1,-0.50348657,-0.49880401,-0.5016794,-0.0028753899999999777,2.029883212819307,hyperbolic,D4; Z4; I8; reversible; amphichiral; periods 2; FSG D8
4_1z,4_1,-0.50000001,-0.5,-0.5,0.0,2.029883212819307,hyperbolic,D4; Z4; I8; reversible; amphichiral; periods 2; FSG D8
5_1,5_1,-0.49706057,-0.49515609,-0.49628804,-0.0011319499999999927,0.0,torus/Seifert (not hyperbolic),"D4,D10; reversible; periods 2,5; FSG Z2"
5_1p,5_1,-0.47380837,-0.43226575,-0.46119458,-0.028928830000000016,0.0,torus/Seifert (not hyperbolic),"D4,D10; reversible; periods 2,5; FSG Z2"
5_1u,5_1,-0.47207938,-0.49831641,-0.49811966,0.00019674999999996778,0.0,torus/Seifert (not hyperbolic),"D4,D10; reversible; periods 2,5; FSG Z2"
5_2,5_2,-0.4603812,-0.46167358,-0.47401127,-0.012337690000000012,2.828122088330783,hyperbolic,D4; reversible; period 2; FSG D4
5_2d,5_2,-0.58953484,-0.50377497,-0.53128049,-0.02750551999999995,2.828122088330783,hyperbolic,D4; reversible; period 2; FSG D4
5_2r,5_2,-0.48394498,-0.47597356,-0.47767933,-0.0017057699999999953,2.828122088330783,hyperbolic,D4; reversible; period 2; FSG D4
