figure_id,sst_feature,observable,value,sst_mapping,canon_use
Fig2a,enantiomer odd spectral component,odd_fraction_power from plus/minus spectra,0.0028203988489994645,chirality-odd response component; candidate sign of handed bridge coupling,requires phase/component decomposition before sign-flip claim
Fig2b,enantiomer odd spectral component,odd_fraction_power from plus/minus spectra,0.0011579870281307524,chirality-odd response component; candidate sign of handed bridge coupling,requires phase/component decomposition before sign-flip claim
Fig2c,enantiomer odd spectral component,odd_fraction_power from plus/minus spectra,0.0004943648040272303,chirality-odd response component; candidate sign of handed bridge coupling,requires phase/component decomposition before sign-flip claim
Fig2d,enantiomer odd spectral component,odd_fraction_power from plus/minus spectra,0.0006881089416827999,chirality-odd response component; candidate sign of handed bridge coupling,requires phase/component decomposition before sign-flip claim
Fig4a,chiral-control spectral gain,S_chiral(B)-S_achiral(B),0.06225808249367405,observable proxy for chirality-coupled bridge response R_chi(B),supports CISS spectral response layer; not a time-domain proof
Fig4a,dimensionless helicity proxy,integrated absolute spectral contrast normalized by total area,0.06225808249367405,field-domain proxy for |H_AB^eff|/H_unit; model-dependent scale,usable as ranking feature across molecule families
Fig4b,chiral-control spectral gain,S_chiral(B)-S_achiral(B),0.16775104136455116,observable proxy for chirality-coupled bridge response R_chi(B),supports CISS spectral response layer; not a time-domain proof
Fig4b,dimensionless helicity proxy,integrated absolute spectral contrast normalized by total area,0.16775104136455116,field-domain proxy for |H_AB^eff|/H_unit; model-dependent scale,usable as ranking feature across molecule families
Fig4c,chiral-control spectral gain,S_chiral(B)-S_achiral(B),0.06256514820441317,observable proxy for chirality-coupled bridge response R_chi(B),supports CISS spectral response layer; not a time-domain proof
Fig4c,dimensionless helicity proxy,integrated absolute spectral contrast normalized by total area,0.06256514820441317,field-domain proxy for |H_AB^eff|/H_unit; model-dependent scale,usable as ranking feature across molecule families
Fig4d,chiral-control spectral gain,S_chiral(B)-S_achiral(B),0.09218454348417202,observable proxy for chirality-coupled bridge response R_chi(B),supports CISS spectral response layer; not a time-domain proof
Fig4d,dimensionless helicity proxy,integrated absolute spectral contrast normalized by total area,0.09218454348417202,field-domain proxy for |H_AB^eff|/H_unit; model-dependent scale,usable as ranking feature across molecule families
