parameter,value,unit,source,pdf_text_available
g_N_x,2.0034,dimensionless,Table_S7_Fig4_simulations,True
g_N_y,2.0041,dimensionless,Table_S7_Fig4_simulations,True
g_N_z,2.0044,dimensionless,Table_S7_Fig4_simulations,True
g_PXX_x,2.0031,dimensionless,Table_S7_Fig4_simulations,True
g_PXX_y,2.0044,dimensionless,Table_S7_Fig4_simulations,True
g_PXX_z,2.0046,dimensionless,Table_S7_Fig4_simulations,True
r_DD,2.5,nm,Table_S7_Fig4_simulations,True
sigma_D,0.35,nm,Table_S7_Fig4_simulations,True
a_N,6.3,MHz,Table_S7_Fig4_simulations,True
a_PXX,10.0,MHz,Table_S7_Fig4_simulations,True
Delta_B0,0.4,mT,Table_S7_Fig4_simulations,True
CISS_contribution_FigS12,47.0,percent,Fig_S12_caption,True
hyperfine_a_H_FigS12,4.0,MHz,Fig_S12_caption,True
hyperfine_a_N_FigS12,2.0,MHz,Fig_S12_caption,True
sigma_distance_FigS12,0.5,nm,Fig_S12_caption,True
