feature_family,feature_name,value,secondary_value,unit,sst_interpretation,canon_status
field_spectral_chirality,Fig2a:(en 1)-1_vs_(en 2)-1,0.06464996774374697,0.002824239037777871,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2a:(en 1)-1_vs_2,0.11100784700507199,0.007940355088922976,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2a:(en 2)-1_vs_2,0.06686124255331405,0.0030486056530889902,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2b:(en 1)-1_vs_(en 2)-1,0.05649438321685271,0.0012347087826790394,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2b:(en 1)-1_vs_2,0.1841397087284324,0.017084816483414308,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2b:(en 2)-1_vs_2,0.18593675330358866,0.01814575130241426,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2c:(R)-1_vs_(S)-1,0.028861260452028654,0.0004921114370305044,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2c:(R)-1_vs_2,0.057958025993331996,0.003555306111344219,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2c:(S)-1_vs_2,0.06236930301390598,0.0032896447363423955,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2d:(R)-1_vs_(S)-1,0.041508684639495044,0.0006858134173707741,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2d:(R)-1_vs_2,0.11525870388577121,0.006899462053337505,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig2d:(S)-1_vs_2,0.13812095553536693,0.010436788306921393,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig4a:achiral_vs_chiral,0.06226197391614277,0.004054066211677302,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig4b:achiral_vs_chiral,0.16776162688990778,0.026490472132644455,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig4c:achiral_vs_chiral,0.06255162299330658,0.0034170660106540842,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
field_spectral_chirality,Fig4d:achiral_vs_chiral,0.092188746986443,0.00578674011873093,dimensionless,field-domain helicity/chirality proxy from EPR spectral contrast,RESEARCH-TRACK-DATA
timefield_ciss_wing,FigS11:experimental:wing_main_temporal_corr,0.2123033565027346,0.3277797672004472,dimensionless,figure-derived test of lateral CISS-wing time dependence relative to main TREPR peaks,FIGURE-DERIVED-CANDIDATE
timefield_ciss_wing,FigS11:simulated:wing_main_temporal_corr,0.08878506980978004,0.5963819201012481,dimensionless,figure-derived test of lateral CISS-wing time dependence relative to main TREPR peaks,FIGURE-DERIVED-CANDIDATE
timefield_ciss_wing,FigS12:experimental:wing_main_temporal_corr,0.10399326660157605,0.28115357269657115,dimensionless,figure-derived test of lateral CISS-wing time dependence relative to main TREPR peaks,FIGURE-DERIVED-CANDIDATE
timefield_ciss_wing,FigS12:simulated:wing_main_temporal_corr,0.11665459095575895,0.42338321135166274,dimensionless,figure-derived test of lateral CISS-wing time dependence relative to main TREPR peaks,FIGURE-DERIVED-CANDIDATE
ta_kinetics,"(R,S)-1-h9:tau_CS1",12.4,0.4,ps,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,"(R,S)-1-h9:tau_CS2",203.0,8.0,ps,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,"(R,S)-1-h9:tau_rlx",32.0,5.0,ns,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,"(R,S)-1-h9:tau_CR",65.9,0.7,us,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,"(R,S)-1-d9:tau_CR",51.1,0.3,us,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,2-h9:tau_CS1,4.8,0.3,ps,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,2-h9:tau_CS2,213.0,6.0,ps,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,2-h9:tau_rlx,4.8,0.5,ns,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,2-h9:tau_CR,46.4,0.6,us,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
ta_kinetics,2-d9:tau_CR,57.0,0.1,us,electron-transfer/charge-recombination timing available for bridge lifetime constraints,SUPPLEMENT-METADATA
molecular_distance_exchange,(S)-1-h9:rD_J,2.48,-0.21,nm / MHz,bridge-length and exchange-coupling metadata for SST helicity bridge scaling,SUPPLEMENT-METADATA
molecular_distance_exchange,(R)-1-h9:rD_J,2.48,-0.28,nm / MHz,bridge-length and exchange-coupling metadata for SST helicity bridge scaling,SUPPLEMENT-METADATA
molecular_distance_exchange,2-h9:rD_J,2.28,-0.14,nm / MHz,bridge-length and exchange-coupling metadata for SST helicity bridge scaling,SUPPLEMENT-METADATA
molecular_distance_exchange,(S)-1-d9:rD_J,2.53,-0.31,nm / MHz,bridge-length and exchange-coupling metadata for SST helicity bridge scaling,SUPPLEMENT-METADATA
molecular_distance_exchange,(R)-1-d9:rD_J,2.51,-0.18,nm / MHz,bridge-length and exchange-coupling metadata for SST helicity bridge scaling,SUPPLEMENT-METADATA
molecular_distance_exchange,2-d9:rD_J,2.29,-0.25,nm / MHz,bridge-length and exchange-coupling metadata for SST helicity bridge scaling,SUPPLEMENT-METADATA
sst_canonical_scale,kappa_SST,9.683619203488876e-09,1.8754496175635708e-16,m^2 s^-1 / m^4 s^-2,canonical circulation and helicity unit used to normalize contra-swirl bridges,SST-CANON-CONSTANT
