Status,Folder,File,DOI,Zenodo_Title,Zenodo_URL,Published_Date
ONLINE,SST-00_Lagrangian,SST-00_Lagrangian.tex,10.5281/zenodo.16956665,Swirl-String Theory (SST) Lagrangian — Emergent Relativistic EFT with Preferred Foliation,https://zenodo.org/deposit/16956665,2025-08-27
ONLINE,SST-01_Rosetta,SST-01_Rosetta-v0.6.tex,10.5281/zenodo.17606846,"Swirl--String Theory Rosetta Stone: Translation Guide for Symbols, Macros, and Constants",https://zenodo.org/records/17606846,2025-11-14
ONLINE,SST-01_Rosetta,String-Theory-SST-Rosetta.tex,10.5281/zenodo.17877971,String-Theoretic and QCD-Inspired Structure in Swirl-String Theory (SST),https://zenodo.org/records/17877971,2025-12-10
ONLINE,SST-05_Einstein_to_SST,SST-05_Einstein_to_SST.tex,10.5281/zenodo.17593016,Revisiting Structured Space: From Einstein to a Swirl–String Framework,https://zenodo.org/records/17593016,2025-11-14
ONLINE,SST-06_Classical_Electron_Radius,SST-06_Linking_the_Classical_Electron_Radius_Compton_Frequency_Hydrogen_Ground-State.tex,10.5281/zenodo.17905207,"On an Exact Identity Linking the Classical Electron Radius, Compton Frequency, and the Hydrogen Ground-State Energy",https://zenodo.org/records/17905207,2025-12-12
ONLINE,SST-07_Rotational_Kinetic_Energy,SST-07_Rotational_Kinetic_Energy_Density_and_an_Effective_Mass_Relation.tex,10.5281/zenodo.17677835,Rotational Kinetic Energy Density and an Effective Mass Relation in Incompressible Fluids,https://zenodo.org/records/17677835,2025-11-22
ONLINE,SST-08_Circulation_Rigid_Rotation,SST-08_Circulation_Rigid_Rotation_and_Proper_Time_Dilation.tex,10.5281/zenodo.17619187,"Circulation, Rigid Rotation, and Proper Time Dilation: A Fluid-Mechanical Representation of Kinematic Redshift",https://zenodo.org/records/17619187,2025-11-15
ONLINE,SST-09_Energy_Impulse_Stability,SST-09_Energy_Impulse_and_Stability_of_Thin_Vortex_Loops.tex,10.5281/zenodo.17619189,"Energy, Impulse, and Stability of Thin Vortex Loops in Incompressible, Inviscid Fluids",https://zenodo.org/records/17619189,2025-11-15
ONLINE,SST-10_Impulsive_Axisymmetric_Forcing,SST-10_Impulsive_Axisymmetric_Forcing_in_a_Rotating_Cylinder.tex,10.5281/zenodo.17619170,"Impulsive Axisymmetric Forcing in a Rotating Cylinder, Reversible Swirl Response, and Skyrmionic Photon Fields: Fluid Benchmarks and Fluid-Inspired Kinematic Hypotheses",https://zenodo.org/deposit/17619170,2025-11-15
ONLINE,SST-11_Water_and_Time,SST-11_Water.tex,10.5281/zenodo.17619573,"Impulsive Axisymmetric Forcing in a Rotating Cylinder, Reversible Swirl Response, and Skyrmionic Photon Emission: Fluid Benchmarks and Fluid-Inspired Kinematic Hypotheses",https://zenodo.org/records/17619573,2025-11-15
ONLINE,SST-12_Swirl_Pressure_Gravitational_Acceleration,SST-12_Swirl_Pressure_and_Effective_Gravitational_Acceleration.tex,10.5281/zenodo.17619191,Swirl Pressure and Effective Gravitational Acceleration in Incompressible Rotating Flows,https://zenodo.org/records/17619191,2025-11-15
ONLINE,SST-17_Photon_Torsion_Wave,SST-17_Photon_as_a_Torsion_Wave.tex,10.5281/zenodo.17677074,Electromagnetism as Propagating Torsion in a Hydrodynamic Vacuum:  A Geometric Unification via Cartan Structure Equations,https://zenodo.org/records/17677074,2025-11-22
ONLINE,SST-21_Knot_Taxonomy,SST-21_Knot_Taxonomy.tex,10.5281/zenodo.17728292,Hydrodynamic Origin of the Hydrogen Ground State,https://zenodo.org/records/17728292,2025-11-26
ONLINE,SST-24_Thermodynamics,SST-24_Thermodynamics.tex,10.5281/zenodo.17813283,Multi-Scale Thermodynamics of the Swirl Condensate: A Unified Hydrodynamic-Topological Framework for Swirl-String Theory,https://zenodo.org/records/17813283,2025-12-04
ONLINE,SST-31_Canon,SST-31_Swirl-String-Theory_Canon-v0.7.6.tex,10.5281/zenodo.18233522,"Swirl-String Theory Canon v-0.7.6 —  Quantum Measurement, Time, Gravity, and Atomic Mass from Topological Defects",https://zenodo.org/records/18233522,2026-01-13
ONLINE,SST-44_Canonical_Fluid_Reformulation,SST-44_Canonical_Fluid_Reformulation_of_Relativity_and_Quantum_Structure.tex,10.5281/zenodo.17309679,Swirl String Theory (SST): A Canonical Fluid Reformulation of Relativity and Quantum Structure,https://zenodo.org/records/17309679,2025-10-10
ONLINE,SST-32_Canonical_Fluid_Reformulation_of_Relativity_and_Quantum_Structure\SST-ElectroMagnetismGravity,diagram.tex,10.5281/zenodo.17203813,"Rotating--Frame Unification in the SST Canon: From Swirl Density to Swirl--EMF, and a Canonical Derivation of the Coupling Gswirl",https://zenodo.org/deposit/17203813,2025-09-25
ONLINE,SST-33_Heat_Transport,prb_sst_transport.tex,10.5281/zenodo.17459746,"Electron--Swirl Coupled Transport in Swirl--String Theory (SST): Perturbative Solutions, Quantitative Benchmarks, and Falsifiable Experiments",https://zenodo.org/records/17459746,2025-10-27
ONLINE,SST-34_Hydrogen-Gravity,SST-34_Hydrogen-Gravity.tex,10.5281/zenodo.17328593,Long-Distance Swirl Gravity from Chiral Swirling Knots with Central Holes,https://zenodo.org/records/17328593,2025-10-11
ONLINE,SST-37_Attosecond-TimeDilation,SST-37_On_Attosecond_Chiral_Photoionization_Dynamics.tex,10.5281/zenodo.17078064,Chirality as Time Asymmetry: A SwirlString Theory Interpretation of Attosecond Photoionization Delays,https://zenodo.org/records/17078064,2025-09-26
