source_path,parameter,value
trefoil_core_helix_blender_script.py,OBJECT_NAME,Trefoil_CorePlusBlade_v3
trefoil_core_helix_blender_script.py,USE_TREFOIL_CURVATURE,False
trefoil_core_helix_blender_script.py,SEGMENT_COUNT,3
trefoil_core_helix_blender_script.py,TREFOIL_TWIST_TURNS,10
trefoil_core_helix_blender_script.py,TWIST_TURNS,TREFOIL_TWIST_TURNS if USE_TREFOIL_CURVATURE else (TREFOIL_TWIST_TURNS / SEGMENT_COUNT)
trefoil_core_helix_blender_script.py,CORE_RADIUS,0.36
trefoil_core_helix_blender_script.py,BLADE_RADIUS,0.36
trefoil_core_helix_blender_script.py,LOBE_STRENGTH,0.92
trefoil_core_helix_blender_script.py,BLADE_SHARPNESS,0.22
trefoil_core_helix_blender_script.py,PROFILE_ECCENTRICITY,1
trefoil_core_helix_blender_script.py,ENABLE_CONNECTORS,True
trefoil_core_helix_blender_script.py,MALE_CONNECTOR_LENGTH,1.8
trefoil_core_helix_blender_script.py,FEMALE_SOCKET_LENGTH,1.95
trefoil_core_helix_blender_script.py,CONNECTOR_RADIUS_SCALE,0.82
trefoil_core_helix_blender_script.py,D_FLAT_FRACTION,0.74
trefoil_core_helix_blender_script.py,CONNECTOR_CLEARANCE,0.05
trefoil_core_helix_blender_script.py,ENABLE_SNAP,True
trefoil_core_helix_blender_script.py,SNAP_BUMP_HEIGHT,0.1
trefoil_core_helix_blender_script.py,SNAP_BUMP_WIDTH,0.18
trefoil_core_helix_blender_script.py,APPLY_FINAL_TRANSFORM,True
trefoil_core_helix_blender_script.py,FINAL_MIRROR_Y,True
trefoil_core_helix_blender_script.py,FINAL_UNIFORM_SCALE,9.52
trefoil_core_helix_blender_script.py,DERIVED_SEGMENT_COUNT,3
trefoil_core_helix_blender_script.py,DERIVED_TOTAL_BLADE_TURNS,10
trefoil_core_helix_blender_script.py,DERIVED_TWIST_TURNS_PER_PRINTED_SEGMENT,3.33333333333
trefoil_core_helix_blender_script.py,DERIVED_USE_TREFOIL_CURVATURE,False
trefoil_core_helix_blender_script.py,DERIVED_PROFILE_PRIMARY_SYMMETRY,3
trefoil_core_helix_blender_script.py,DERIVED_PROFILE_SECONDARY_SYMMETRY,6
trefoil_core_helix_blender_script.py,DERIVED_HAS_3_BLADE_PROFILE,True
trefoil_core_helix_blender_script.py,DERIVED_HAS_D_KEY_CONNECTOR,True
trefoil_core_helix_blender_script.py,DERIVED_HAS_BOOLEAN_SOCKET,True
trefoil_core_helix_blender_script.py,DERIVED_HAS_SNAP_BUMP,True
