candidate,prediction_kg_m3,relative_error_percent,rho_f_over_prediction,comment
rho_Lambda,5.845005787161e-27,-100.000000,1.197603604666e+20,direct vacuum density; fails by 20 orders
(r_c/l_P) rho_Lambda,5.095383262952e-07,-27.208811,1.373792635168e+00,one-dimensional UV-IR line lift; natural leading candidate
sqrt(2) (r_c/l_P) rho_Lambda,7.205960115956e-07,2.942287,9.714180882712e-01,core-acoustic impedance candidate; uses c_s=v_swirl/sqrt(2)
2 Omega_Lambda (r_c/l_P) rho_Lambda,6.980675070244e-07,-0.276070,1.002768346838e+00,best simple Planck-epoch numerical fit; contains epoch-dependent Omega_Lambda projection
2 (r_c/l_P) rho_Lambda,1.019076652590e-06,45.582379,6.868963175838e-01,active gravitational density magnitude only; too high
(pi^3/(16 sqrt(2))) (r_c/l_P) rho_Lambda,6.982187284454e-07,-0.254467,1.002551165533e+00,best small pi/2 numerological fit; no current SST mechanism
(r_c/l_P) rho_crit,7.438515712339e-07,6.264510,9.410479550898e-01,critical density line lift
Omega_Lambda (r_c/l_P) rho_crit,5.095383262952e-07,-27.208811,1.373792635168e+00,same as A rho_Lambda
sqrt(2) Omega_Lambda (r_c/l_P) rho_crit,7.205960115956e-07,2.942287,9.714180882712e-01,same as sqrt2 A rho_Lambda
2 Omega_Lambda^2 (r_c/l_P) rho_crit,6.980675070244e-07,-0.276070,1.002768346838e+00,same as 2 Omega_Lambda A rho_Lambda
