index,file,comment
0,CANON-0.5.5.1.pdf,2.1 Swirl Quantization Principle: joint discreteness of circulation Γ=nκ and topology; replaces operator quantization.
1,Swirl_String_Theory_CANON-v0.3.4.pdf,Quantum Mechanics → Swirl String Theory Canonical Quantization: Swirl Quantization Principle.
2,CANON-0.5.5.1.pdf,V_SST(r) = − Λ / √(r^2 + r_c^2).
3,CANON-0.5.5.1.pdf,Theorem 4.1 (Swirl-Induced Electromotive Force): time-varying swirl areal density acts as a Faraday source.
4,CANON-0.5.5.1.pdf,"Corollary 4.2 (Photon as Swirl Wave): unknotted swirl excitations as EM radiation; define a(x,t)."
5,CANON-0.5.5.1.pdf,"∂^2_t a − c^2 ∇×(∇×a) = 0,  ∇·a = 0 (Coulomb gauge)."
6,CANON-0.5.5.1.pdf,Theorem 6.2: Emergence of the weak mixing angle θ_W.
7,CANON-0.5.5.1.pdf,EWSB scale from u_swirl = (1/2) ρ_f v_0^2.
8,CANON-0.5.5.1.pdf,v_Φ = u_swirl^{1/4} (W1 W2 W3)^{1/4}.
9,CANON-0.5.5.1.pdf,Theorem 7.1: Swirl Gravity Mechanism in Flat Space (locked circulation → attraction).
10,CANON-0.5.5.1.pdf,"∮_C v·dℓ = 2π i Res(∂_z W, 0) = n κ."
11,CANON-0.5.5.1.pdf,Dual Phases (Wave–Particle): R-phase (unknotted) and T-phase (knotted); measurement as R→T.
12,CANON-0.5.5.1.pdf,Theorem 8.1: R→T transition dynamics (collapse induced by interactions).
13,CANON-0.5.5.1.pdf,"Theorem 9.1: Local-Kernel Collapse Law χ(r,ω)*u(r,ω)."
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
