family_id,location,class,scaling,preliminary_adjudication
F01,"Primitive set/provenance, main 1221-1245",X,"inserted legacy value","orphaned normalization; physical response unfixed"
F02,"Density ontology/quasi-static limit, main 1274-1355",B,"definition preserved","semantic layer only"
F03,"rhoE/rhoM, main 1705-1712",C,"linear in lambda","candidate only with absolute independent energy observable"
F04,"coarse-grained rho=K Omega, main 1814-1825",B/X,"fit-degenerate","not a pinning equation"
F05,"master mass equation, main 1836-1935",B,"rhoF Xi invariant under inverse kernel scaling","mass matching does not pin rhoF"
F06,"radiation action, main 3021-3052",B/Q,"field and stiffness rescaling","source/quantum normalization open"
F07,"Kgamma=rhoF c^2, main 3046",B,"co-scales","identity not calibration"
F08,"Euler acceleration/pressure law",A,"rho cancels with pressure","kinematics cannot pin rho"
F09,"absolute pressure/stress/force",C,"linear in lambda","needs independent transducer"
F10,"optical/time pressure ratio",A,"exact cancellation","cannot pin rho"
F11,"galaxy acceleration",A,"exact cancellation","cannot pin rho"
F12,"Pauli barrier",C/X,"linear in lambda","cutoff and ontology unclosed"
F13,"filament energies/tensions",C/X,"linear in lambda","requires material/tube density"
F14,"Kelvin impulse",C/X,"linear in lambda","source dictionary unclosed"
F15,"pressure-envelope diagnostics",A/C,"acceleration invariant; pressure scales","no absolute coupling"
F16,"pressure-Poisson/stress source",B/C,"velocity may be invariant; stress scales","boundary/detector map open"
F17,"historical VAM construction",X,"invalid provenance","erratum only"
F18,"participation diagnostic",B,"reparameterization","not derivation"
F19,"cosmological/SSDL lifts",X,"data reconstruction","no evidential pinning"
F20,"minimal relational action",Q/B,"source-field normalization degeneracy","quantum/source audit required"
F21,"core-torsion impedance",B/Q,"speed ratio invariant; impedance absolute","possible future Q/C observable"
F22,"EM-to-swirl correspondence",B,"trades with free coupling","cannot pin until dictionary fixed"
F23,"Hill/Taylor analog benchmarks",C,"linear in lambda","analogue density only"
F24,"legacy numerical tables",X,"inserted reference","regression only"
