file,line,section,subsection,paragraph,equation_label,text
SST_CANON-v0.8.31.tex,86,,,,,\newcommand{\rhoF}{{\rho_{\!f}}}
SST_CANON-v0.8.31.tex,214,Author's Origin Note: From Impedance and Resonance to Vorticity,,,,"current symbols $\Gamma_0$, $\rhoF$, and $\rc$ were the original ontological"
SST_CANON-v0.8.31.tex,1221,Formal Foundations,Primitive Structure of the Theory,,,"\mathcal{P}_{\mathrm{cal}} = \{ \rhoF, \vchar, \omega_c \}"
SST_CANON-v0.8.31.tex,1226,Formal Foundations,Primitive Structure of the Theory,,,"\item $\rhoF\equiv\rhoEff$ is the calibrated quasi-static effective inertial-response density of the selected collective SST sector,"
SST_CANON-v0.8.31.tex,1243,Formal Foundations,Primitive Structure of the Theory,,,"\textbf{[CALIBRATED / PROVENANCE GUARD]}: Within $\mathcal{P}_{\mathrm{cal}}$, the members $\vchar$ and $\omega_c$ are pinned by CODATA constants through $\vchar=\alpha c/2$ and $\omega_c=m_ec^2/\hbar$, whereas $\rhoF\equiv\rhoEff=7.0\times10^{-7}\,\mathrm{kg\,m^{-3}}$ is retained at \emph{two significant figures} with no canon-level derivation and, at present, no explicitly stated independent calibration observable. The quoted value is a point calibration with unresolved systematic uncertainty; two-significant-figure notation is not a statistical confidence interval. The historical VAM expression from which the decimal value was inherited has dimensions $\mathrm{kg\,m^{-1}}$, not $\mathrm{kg\,m^{-3}}$, and is therefore registered as a rotational-microinertia coefficient rather than as a derivation of $\rhoF$; see Subsection~\ref{subsec:rt_historical_rhof_provenance_audit}. Candidate reduction routes, e.g.\ the research-track cosmological impedance lift $\rhoF=\chi_\Lambda(\rc/\ell_P)\rho_\Lambda$ with $\chi_\Lambda\simeq1.37$ and $\rho_\Lambda=\Lambda c^2/(8\pi G)$, are not canon derivations. In particular, the smaller central-value residual of the present-epoch choice $\chi_\Lambda=2\Omega_{\Lambda,0}$ has no promotion force without an epoch-invariant mechanism and a covariance-aware uncertainty model; see Section~\ref{sec:rt_rhof_cosmological_impedance_route} and Subsection~\ref{subsec:ssdl_monopole_dtn}. Every quantity linear in $\rhoF$ (the swirl energy density $\rhoE$, the mass-equivalent density $\rhoM$, the Pauli-barrier benchmark, and dark-sector pressure amplitudes) inherits the unresolved relative uncertainty of $\rhoF$, and no claim requiring $\rhoF$ at better than the stated calibration precision may be promoted."
SST_CANON-v0.8.31.tex,1245,Formal Foundations,Primitive Structure of the Theory,,,"\textbf{[DEPENDENCY GUARD]}: In the present primitive architecture, $\rhoF$, $\vchar$, and $\omega_c$ are independent calibration entries. Therefore uncertainty or hypothetical epoch dependence assigned to $\rhoF$ propagates into $\rhoE$, $\rhoM$, pressure amplitudes, and other explicitly $\rhoF$-dependent quantities, but it does \emph{not} by itself shift $\vchar$, $\omega_c$, $\rc=\vchar/\omega_c$, or the Compton closure chain. Such propagation would require an additional constitutive relation and must be labeled separately. A future edition must either state the explicit calibration target that fixes $\rhoF$ or demote $\rhoF$ to an interval-valued effective parameter."
SST_CANON-v0.8.31.tex,1274,Formal Foundations,Density Ontology and Backward-Compatible Symbol Rule,,,\boxed{\rhoF\equiv\rhoEff}
SST_CANON-v0.8.31.tex,1278,Formal Foundations,Density Ontology and Backward-Compatible Symbol Rule,,,"$\rhoSub=\rhoF$, $\Jomega=\muell$, or"
SST_CANON-v0.8.31.tex,1279,Formal Foundations,Density Ontology and Backward-Compatible Symbol Rule,,,$\Jomega=\rhoF\ell^2$ is canonical unless an explicit microscopic or
SST_CANON-v0.8.31.tex,1304,Formal Foundations,Density Ontology and Backward-Compatible Symbol Rule,,,Writing $\tfrac12\rhoF|\boldsymbol\omega|^2$ without an independently
SST_CANON-v0.8.31.tex,1319,Formal Foundations,Density Ontology and Backward-Compatible Symbol Rule,,,The calibrated $\rhoF$ instead belongs to the long-wavelength effective
SST_CANON-v0.8.31.tex,1331,Formal Foundations,Density Ontology and Backward-Compatible Symbol Rule,,,\rhoF\equiv\rhoEff
SST_CANON-v0.8.31.tex,1343,Formal Foundations,Density Ontology and Backward-Compatible Symbol Rule,,,numerical value.  The scalar $\rhoF$ must not be extrapolated to core
