field,value
preferred_normalizer,M_Lcert2
stages_detected,"StageA,StageB,StageC,StageD"
n_stages,4
n_grid_families,16
preferred_selected_fraction,1.0
pass_grid_family_fraction,1.0
preferred_cross_grid_consensus_pass_count,4
global_numeric_gate,PASS_G14_NUMERIC_SUPPORT_FOR_M_LCERT2
global_alpha_inv_blind_mean,137.22356337162375
global_alpha_inv_blind_cv_abs,0.001624923297366798
stageD_alpha_inv_mean,137.15486676613227
stageD_alpha_inv_cv_abs,5.894392513597222e-06
stageCD_alpha_inv_mean,137.15528451885825
stageCD_alpha_inv_cv_abs,1.1352779235901546e-05
global_abs_correction_ratio_max,0.00930461683469654
analytic_status,CONDITIONAL_LAW_UNDER_H1_MODE_EXTENSIVITY_AND_H2_SCALE_COVARIANCE
