Paper,SLV,TRC,NWO,CPR,FCP,ES,RC,PEC,Total,Role,Venue,Submission Status
SST-68 Hydrodynamic Phase-Crossover,4,4,5,4,4,3,3,4,31,Bridge / Constraint,—,""
SST-67 Variational Quantization,5,4,4,4,4,4,5,4,34,"Anchor / Bridge-Anchor",Physical Review Research,rejected
SST-66 Relational Time and Intrinsic Temporal Stochasticity,4,4,5,4,3,3,3,3,29,Bridge,,
SST-65 Foliation in Mass Equation,4,4,4,5,3,3,4,4,31,Bridge,,
SST-64 Covariant,5,4,4,5,3,4,4,3,32,Bridge,,
SST-63 Holograpic,4,4,5,5,2,2,3,3,28,Bridge,,
SST-62 SR GR ARE ONE,3,4,3,4,3,3,4,4,28,Support,,
SST-61 Topological Stabilization Ideal Flows,5,5,4,4,3,5,5,4,35,Anchor,,
SST-60 Swirl-Clock Phase Locking,5,5,4,5,4,5,5,5,38,Anchor,EPJP,
SST-59 Atomic Masses from Topological Invariants,4,4,4,5,3,3,4,4,34,Bridge,JPhysA,rejected
SST-58 vacuum stress energy engineering,4,4,4,3,4,4,4,4,31,Bridge,,
SST-57 FermionMasses,3,4,3,3,3,4,5,4,29,Support,,
SST-56 superfluid,5,4,4,3,3,4,5,4,32,Bridge,,
SST-55 Delay-Induced mode selection Circulating Feedback Systems,4,4,4,4,3,3,4,4,30,Bridge,"CHAOS → AIP-A",rejected
SST-54 Delay-Induced mode discreteness nonlinear ring systems,4,4,4,4,4,4,4,4,32,"Bridge / Constraint","CHAOS → AIP-A",rejected
SST-53 Thermodynamic Origin of Quantization,4,4,4,4,3,3,3,4,29,Bridge,,
SST-52 Kelvin Mode Suppression Gap,5,4,4,4,5,4,4,4,34,Anchor/Constraint,FoP,rejected
SST-51 Variational Electron Magnetic Moment,3,3,3,3,2,2,3,3,22,"Support (high-risk)",,
SST-50 Emergent Equivalence Principle,4,3,3,4,2,3,4,4,27,Bridge/Support,FoP,rejected
SST-49 Emergent InverseSquare Derivations,4,4,4,4,4,4,4,4,32,Anchor/Bridge,,
SST-48 Emergent InverseSquare Law,4,4,4,4,3,3,3,3,28,Support/Bridge,,
SST-47 Emergent InverseSquare Followup,4,4,4,4,4,4,4,4,32,"Bridge (redundant)",,
SST-46 Relational Time of Arrival,4,4,4,4,3,4,4,4,31,Bridge,FoP,rejected
SST-45 Golden Rapidity,3,5,2,2,1,4,5,5,27,Auxiliary,,
SST-44 Canonical Fluid Reformulation,3,3,4,5,2,2,2,3,24,Capstone,,
SST-43 Magnetic Vector,5,5,2,5,3,5,5,4,34,"Anchor (Infrastructure)",,
SST-42 Spiraling Light,4,3,3,3,2,4,4,4,27,Support,,
SST-41 Water and time,4,5,3,3,3,4,4,5,31,Bridge,,
SST-40 Photons and Lazers,4,4,2,3,2,5,5,5,30,Support,,
SST-39 Giant Jets and Sprites,3,4,2,3,2,2,3,4,23,Support,,
SST-38 Calculate-Knot-Helicity,5,4,2,5,3,4,5,4,32,"Anchor (Infrastructure)",,
SST-37 Attosecond-TimeDilation,4,3,4,3,4,2,3,4,27,Support,,
SST-36 Wave-Particle Duality,4,4,4,4,3,3,3,4,29,Bridge,,
SST-35 Resonance-matched-excitation,5,5,3,5,4,5,5,5,37,"Anchor (Methods)",,
SST-34 Hydrogen-Gravity,4,4,3,4,4,3,4,3,29,Bridge/Constraint,,
SST-34 Thermodynamics (two-scale swelling),3,3,3,4,2,1,2,3,21,"Internal / Support",,
